20	20	
6.991	0.169	0.811	0.487	0.307	0.849	0.378	0.421	0.169	0.078	0.868	0.225	0.452	0.745	0.340	0.048	0.577	0.890	0.230	0.034	
0.732	8.955	0.430	0.429	0.980	0.200	0.993	0.797	0.562	0.703	0.577	0.718	0.005	0.222	0.045	0.236	0.605	0.069	0.471	0.312	
0.809	0.016	3.954	0.855	0.394	0.904	0.654	0.639	0.811	0.340	0.793	0.337	0.638	0.797	0.829	0.946	0.825	0.693	0.292	0.642	
0.901	0.137	0.079	14.921	0.156	0.667	0.912	0.251	0.151	0.097	0.655	0.067	0.220	0.423	0.037	0.825	0.369	0.230	0.878	0.148	
0.653	0.448	0.689	0.722	4.999	0.731	0.526	0.089	0.772	0.760	0.147	0.279	0.556	0.848	0.511	0.226	0.858	0.615	0.541	0.133	
0.629	0.641	0.045	0.841	0.126	12.921	0.161	0.377	0.624	0.098	0.550	0.869	0.243	0.203	0.584	0.799	0.772	0.073	0.943	0.311	
0.094	0.955	0.870	0.212	0.283	0.162	5.964	0.184	0.690	0.698	0.074	0.953	0.511	0.125	0.071	0.461	0.689	0.359	0.551	0.266	
0.333	0.570	0.954	0.539	0.414	0.872	0.037	2.937	0.404	0.616	0.663	0.954	0.601	0.903	0.052	0.275	0.056	0.486	0.350	0.13	
0.577	0.187	0.216	0.610	0.250	0.921	0.898	0.312	6.630	0.302	0.217	0.107	0.650	0.512	0.836	0.191	0.541	0.798	0.603	0.961	
0.297	0.144	0.783	0.378	0.999	0.509	0.411	0.168	0.216	5.547	0.676	0.901	0.910	0.522	0.129	0.102	0.868	0.955	0.652	0.223	
0.291	0.619	0.136	0.921	0.464	0.713	0.773	0.925	0.689	0.733	4.488	0.929	0.763	0.966	0.229	0.479	0.306	0.201	0.128	0.831	
0.543	0.115	0.208	0.877	0.795	0.817	0.732	0.517	0.837	0.796	0.051	3.599	0.402	0.063	0.097	0.629	0.279	0.815	0.520	0.031	
0.769	0.196	0.363	0.018	0.706	0.068	0.446	0.386	0.368	0.420	0.211	0.728	2.966	0.363	0.611	0.154	0.297	0.274	0.554	0.521	
0.565	0.833	0.600	0.521	0.848	0.514	0.558	0.079	0.689	0.932	0.334	0.483	0.309	3.150	0.624	0.206	0.865	0.699	0.208	0.530	
0.991	0.242	0.290	0.026	0.211	0.062	0.699	0.693	0.654	0.386	0.856	0.462	0.944	0.790	4.996	0.471	0.916	0.194	0.859	0.576	
0.444	0.093	0.087	0.372	0.739	0.368	0.183	0.531	0.826	0.042	0.720	0.296	0.172	0.268	0.929	6.001	0.961	0.902	0.665	0.836	
0.705	0.230	0.090	0.775	0.732	0.045	0.943	0.162	0.962	0.588	0.151	0.277	0.805	0.577	0.974	0.785	8.603	0.722	0.041	0.393	
0.714	0.847	0.045	0.771	0.386	0.034	0.964	0.535	0.673	0.528	0.813	0.482	0.008	0.972	0.386	0.278	0.007	7.323	0.278	0.017	
0.033	0.643	0.110	0.128	0.135	0.476	0.914	0.937	0.602	0.178	0.765	0.798	0.706	0.306	0.225	0.516	0.784	0.395	6.894	0.486	
0.890	0.339	0.697	0.615	0.735	0.369	0.537	0.824	0.113	0.945	0.587	0.074	0.022	0.237	0.994	0.157	0.671	0.728	0.943	6.118	
